fish_id,tag_id,length_mm,weight_g,standard_weight,relative_weight,fin_ray,otolith,field_sex,lab_sex,pit_tag_nmbr,date,month,gear,location,comments,acoustic_id_nmbr,gonad_weight_g,ovary_1 _g,ovary_2_g,o1_sample_1,o1_sample_2,o1_sample_3,o2_sample_1,o2_sample_2,o2_sample_3,o1_avg_count,o2_avg_count,,
3,813,669,2779,2908.524,95.54674,Y,Y,F,F,NA,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,362.51,193.25,169.26,200,217,201,211,219,238,206,223,,
4,893,702,2829,3435.113,82.35536,Y,Y,F,F,NA,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,342.32,166.33,175.99,212,189,240,184,209,215,214,203,,
7,1153,748,3583,4277.637,83.76120,Y,Y,F,F,NA,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,440.13,221.78,218.35,220,242,233,235,251,250,232,245,,
10,925,629,2153,2350.372,91.60252,Y,Y,F,F,NA,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,249.64,123.47,126.17,310,301,289,295,289,292,300,292,,
11,899,671,2473,2938.685,84.15329,Y,Y,F,F,NA,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,286.96,145.82,141.14,202,205,190,188,198,248,199,211,,
12,850,604,2102,2042.978,102.88903,Y,Y,F,F,NA,3.9.21,march,trammel_nets,james_mo_confluence,threw_out_eggs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
15,1198,680,2823,3077.165,91.74028,Y,Y,F,F,NA,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,338.61,172.54,166.07,245,275,267,261,271,257,262,263,,
19,930,764,3871,4602.255,84.11095,Y,Y,F,F,NA,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,568.15,268.85,299.3,247,231,290,251,247,202,256,233,,
20,82,720,3313,3749.222,88.36501,Y,Y,F,F,NA,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,425.55,190.53,235.02,220,253,223,232,238,277,232,249,,
23,1277,687,2894,3188.031,90.77705,Y,Y,F,F,NA,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,400.67,216.41,184.26,224,231,268,234,247,221,241,234,,
25,884,696,2964,3334.706,88.88340,Y,Y,F,F,NA,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,394.43,196.46,197.97,210,230,215,211,233,208,218,217,,
26,441,747,3369,4257.905,79.12341,Y,Y,F,F,NA,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,447.58,213.12,234.46,205,214,189,190,185,200,203,192,,
27,1434,728,3790,3895.167,97.30007,Y,Y,F,F,NA,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,548.49,263.67,284.82,220,240,229,215,227,212,230,218,,
33,449,707,3309,3520.412,93.99468,Y,Y,F,F,NA,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,453.8,234.43,219.37,250,263,221,277,269,264,245,270,,
35,1425,646,2362,2577.292,91.64659,Y,Y,F,F,NA,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,338.4,168.57,169.83,303,308,282,320,297,332,298,316,,
38,911,728,2968,3895.167,76.19700,Y,Y,F,F,NA,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,370.62,174.98,195.64,242,267,243,238,231,220,251,230,,
40,1430,806,3710,5537.247,67.00080,Y,Y,2F 1M,F,NA,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,391.61,196.41,195.2,217,242,198,195,194,170,219,186,,
43,895,771,3406,4749.632,71.71082,Y,Y,F,F,NA,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,377.18,195.09,182.09,218,243,217,246,238,229,226,238,,
48,891,796,3677,5303.414,69.33269,Y,Y,F,F,NA,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,401.17,197.22,203.95,218,210,230,221,237,242,219,233,,
51,896,681,2678,3092.833,86.58729,Y,Y,F,F,NA,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,396.45,205.04,191.41,219,214,216,203,194,184,216,194,,
52,854,786,3616,5076.686,71.22757,Y,Y,F,F,NA,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,406.09,220.2,185.89,226,250,270,228,216,282,249,242,,
54,1175,711,3044,3589.726,84.79755,Y,Y,F,F,NA,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,445.2,223.49,221.71,240,262,213,222,207,243,238,224,,
57,1422,667,2702,2878.584,93.86560,Y,Y,F,F,NA,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,366.75,203.91,162.84,288,260,254,284,273,259,267,272,,
58,1418,576,1707,1733.884,98.44948,Y,Y,F,F,NA,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,253.41,116.88,136.53,286,281,266,293,273,265,278,277,,
61,938,685,2756,3156.070,87.32379,Y,Y,F,F,NA,3.9.21,march,trammel_nets,james_mo_confluence,NA,NA,375.72,190.84,184.88,239,259,217,213,264,213,238,230,,
