length_mm,weight_g,standard_weight,relative_weight,field_sex,lab_sex,comments,gonad_weight_g,ovary_avg_weight,ovary_1 _g,ovary_2_g,o1_sample_1,o1_sample_2,o1_sample_3,o2_sample_1,o2_sample_2,o2_sample_3,o1_avg_count,o2_avg_count,,
669,2779,2908.524,95.54674,F,F,NA,362.51,181.255,193.25,169.26,200,217,201,211,219,238,206,223,,
702,2829,3435.113,82.35536,F,F,NA,342.32,171.16,166.33,175.99,212,189,240,184,209,215,214,203,,
748,3583,4277.637,83.76120,F,F,NA,440.13,220.065,221.78,218.35,220,242,33,235,251,250,165,245,,
629,2153,2350.372,91.60252,F,F,NA,249.64,124.82,123.47,126.17,310,301,289,295,289,292,300,292,,
671,2473,2938.685,84.15329,F,F,NA,286.96,143.48,145.82,141.14,202,205,190,188,198,248,199,211,,
604,2102,2042.978,102.88903,F,F,threw_out_eggs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
680,2823,3077.165,91.74028,F,F,NA,338.61,169.305,172.54,166.07,245,275,267,261,271,257,262,263,,
764,3871,4602.255,84.11095,F,F,NA,568.15,284.075,268.85,299.3,247,231,290,251,247,202,256,233,,
720,3313,3749.222,88.36501,F,F,NA,425.55,212.775,190.53,235.02,220,253,223,232,238,277,232,249,,
687,2894,3188.031,90.77705,F,F,NA,400.67,200.335,216.41,184.26,224,231,268,234,247,221,241,234,,
696,2964,3334.706,88.88340,F,F,NA,394.43,197.215,196.46,197.97,210,230,215,211,233,208,218,217,,
747,3369,4257.905,79.12341,F,F,NA,447.58,223.79,213.12,234.46,205,214,189,190,185,200,203,192,,
728,3790,3895.167,97.30007,F,F,NA,548.49,274.245,263.67,284.82,220,240,229,215,227,212,230,218,,
707,3309,3520.412,93.99468,F,F,NA,453.8,226.9,234.43,219.37,250,263,221,277,269,264,245,270,,
646,2362,2577.292,91.64659,F,F,NA,338.4,169.2,168.57,169.83,303,308,282,320,297,332,298,316,,
728,2968,3895.167,76.19700,F,F,NA,370.62,185.31,174.98,195.64,242,267,243,238,231,220,251,230,,
806,3710,5537.247,67.00080,2F 1M,F,NA,391.61,195.805,196.41,195.2,217,242,198,195,194,170,219,186,,
771,3406,4749.632,71.71082,F,F,NA,377.18,188.59,195.09,182.09,218,243,217,246,238,229,226,238,,
796,3677,5303.414,69.33269,F,F,NA,401.17,200.585,197.22,203.95,218,210,230,221,237,242,219,233,,
681,2678,3092.833,86.58729,F,F,NA,396.45,198.225,205.04,191.41,219,214,216,203,194,184,216,194,,
786,3616,5076.686,71.22757,F,F,NA,406.09,203.045,220.2,185.89,226,250,270,228,216,282,249,242,,
711,3044,3589.726,84.79755,F,F,NA,445.2,222.6,223.49,221.71,240,262,213,222,207,243,238,224,,
667,2702,2878.584,93.86560,F,F,NA,366.75,183.375,203.91,162.84,288,260,254,284,273,259,267,272,,
576,1707,1733.884,98.44948,F,F,NA,253.41,126.705,116.88,136.53,286,281,266,293,273,265,278,277,,
685,2756,3156.070,87.32379,F,F,NA,375.72,187.86,190.84,184.88,239,259,217,213,264,213,238,230,,
637,1989,2455.307,81.00819,2F 1M,F,NA,273.08,136.54,128.92,144.16,278,272,252,263,252,278,267,264,,
607,1989,2078.261,95.70501,F,F,NA,226.3,113.15,113.41,112.89,278,308,262,318,316,332,283,322,,
560,1510,1573.033,95.99290,F,F,NA,135.89,67.945,72.9,62.99,258,239,267,301,275,250,255,275,,
590,1911,1883.929,101.43694,F,F,NA,191.85,95.925,101.96,89.89,309,340,308,312,289,304,319,302,,
653,2318,2675.100,86.65098,F,F,NA,300.1,150.05,150.18,149.92,225,224,204,202,209,224,218,212,,
755,3604,4417.582,81.58308,F,F,NA,489.58,244.79,230.69,258.89,218,198,202,210,220,231,206,220,,
707,3146,3520.412,89.36454,F,F,NA,521.83,260.915,272.15,249.68,250,234,199,256,222,211,228,230,,
702,3285,3435.113,95.63003,F,F,NA,542.98,271.49,282.58,260.4,264,251,230,243,227,246,248,239,,
712,2783,3607.205,77.15114,F,F,NA,388.52,194.26,184.97,203.55,224,226,252,234,241,246,234,240,,
666,2665,2863.696,93.06155,F,F,NA,364.24,182.12,182.41,181.83,238,245,225,248,242,229,236,240,,
718,3324,3713.352,89.51482,F,F,NA,423.64,211.82,211.34,212.3,295,289,278,303,282,257,287,281,,
